# SETUP BEGIN
# File Stream: file_name: ../datasets/covtype.csv  -  num_classes: 7  -  num_classification_tasks: 1
# Pipeline: Classifier: no info available
# ADFHoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: mc - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_instances: 100000 - max_time: 1000 - output_file: comparison_Bernoulli_ADFH_Preq.csv - batch_size: 1 - pretrain_size: 200 - task_type: classification - show_plotTrue - plot_options: ['kappa', 'kappa_t', 'performance']
# SETUP END
x_count,global_performance_0,sliding_window_performance_0,global_performance_1,sliding_window_performance_1,global_kappa_0,sliding_window_kappa_0,global_kappa_1,sliding_window_kappa_1,global_kappa_t_0,sliding_window_kappa_t_0,global_kappa_t_1,sliding_window_kappa_t_1
10200,0.564,0.665,0.313,0.63,0.491,0.465,0.194,0.358,-0.015,0.323,-0.599,0.253
10400,0.564,0.58,0.319,0.635,0.491,0.313,0.201,0.326,-0.015,0.012,-0.585,0.141
10600,0.56,0.355,0.321,0.445,0.487,0.238,0.204,0.209,-0.021,-0.303,-0.575,-0.121
10800,0.556,0.355,0.321,0.315,0.482,0.184,0.206,0.0,-0.029,-0.466,-0.574,-0.557
11000,0.557,0.58,0.323,0.445,0.483,0.367,0.211,0.0,-0.032,-0.235,-0.575,-0.632
11200,0.558,0.615,0.323,0.315,0.484,0.499,0.211,0.052,-0.034,-0.149,-0.582,-1.045
11400,0.559,0.61,0.32,0.155,0.485,0.179,0.206,0.072,-0.031,0.124,-0.587,-0.899
11600,0.556,0.41,0.319,0.28,0.482,0.063,0.204,0.074,-0.034,-0.18,-0.585,-0.44
11800,0.556,0.585,0.318,0.22,0.482,0.46,0.203,0.103,-0.02,0.443,-0.569,-0.047
12000,0.554,0.42,0.316,0.225,0.479,0.285,0.201,0.067,-0.018,0.049,-0.562,-0.27
12200,0.556,0.645,0.317,0.36,0.481,0.555,0.202,0.151,-0.008,0.432,-0.549,-0.024
12400,0.557,0.64,0.323,0.715,0.483,0.406,0.209,0.323,-0.009,-0.075,-0.541,0.149
12600,0.56,0.735,0.329,0.65,0.486,0.534,0.215,0.184,-0.002,0.418,-0.528,0.231
12800,0.561,0.665,0.332,0.535,0.488,0.523,0.218,0.223,0.004,0.337,-0.517,0.079
13000,0.563,0.64,0.333,0.415,0.489,0.512,0.22,0.182,0.012,0.374,-0.507,-0.017
13200,0.564,0.66,0.333,0.325,0.491,0.551,0.22,0.188,0.022,0.477,-0.497,-0.038
13400,0.564,0.54,0.331,0.195,0.49,0.438,0.218,0.086,0.029,0.319,-0.49,-0.193
13600,0.563,0.515,0.332,0.38,0.49,0.41,0.219,0.279,0.034,0.281,-0.478,0.081
13800,0.564,0.625,0.336,0.625,0.491,0.514,0.225,0.481,0.041,0.39,-0.461,0.39
14000,0.565,0.61,0.339,0.535,0.491,0.503,0.228,0.433,0.05,0.439,-0.443,0.331
14200,0.566,0.64,0.342,0.575,0.493,0.542,0.232,0.437,0.057,0.429,-0.429,0.325
14400,0.567,0.685,0.348,0.78,0.495,0.458,0.239,0.539,0.06,0.292,-0.416,0.506
14600,0.569,0.68,0.352,0.605,0.497,0.528,0.243,0.374,0.067,0.462,-0.403,0.336
14800,0.569,0.585,0.353,0.425,0.497,0.491,0.245,0.265,0.068,0.144,-0.4,-0.186
15000,0.571,0.675,0.351,0.21,0.499,0.568,0.243,-0.097,0.066,-0.25,-0.412,-2.038
15200,0.569,0.475,0.346,0.0,0.498,-0.031,0.236,0.0,0.052,-9.5,-0.439,-19.0
15400,0.572,0.775,0.342,0.0,0.501,0.013,0.23,0.0,0.047,-4.625,-0.466,-24.0
15600,0.575,0.81,0.346,0.695,0.504,-0.015,0.234,0.033,0.043,-2.8,-0.473,-5.1
15800,0.578,0.84,0.353,0.85,0.508,-0.03,0.24,-0.022,0.039,-3.0,-0.476,-2.75
16000,0.582,0.83,0.358,0.75,0.511,-0.037,0.244,-0.107,0.036,-2.4,-0.481,-4.0
16200,0.585,0.845,0.363,0.775,0.514,-0.024,0.249,-0.096,0.032,-2.875,-0.485,-4.625
16400,0.587,0.805,0.367,0.75,0.516,0.0,0.253,-0.073,0.028,-2.9,-0.49,-4.0
16600,0.589,0.74,0.371,0.69,0.518,0.0,0.256,-0.074,0.022,-4.2,-0.497,-5.2
16800,0.591,0.695,0.374,0.615,0.519,0.0,0.258,-0.113,0.015,-4.545,-0.506,-6.0
17000,0.593,0.805,0.377,0.625,0.521,0.0,0.259,-0.165,0.01,-4.571,-0.515,-9.714
17200,0.595,0.785,0.38,0.59,0.523,0.0,0.261,-0.2,0.005,-7.6,-0.526,-15.4
17400,0.598,0.79,0.382,0.575,0.524,0.0,0.262,-0.219,-0.001,-7.4,-0.537,-16.0
17600,0.599,0.765,0.384,0.535,0.526,0.0,0.262,-0.235,-0.006,-6.833,-0.549,-14.5
17800,0.601,0.77,0.388,0.76,0.527,0.0,0.265,-0.017,-0.012,-5.571,-0.554,-5.857
18000,0.603,0.715,0.391,0.715,0.527,0.0,0.268,0.0,-0.019,-10.4,-0.561,-10.4
18200,0.604,0.72,0.395,0.72,0.528,0.0,0.27,0.0,-0.027,-10.2,-0.568,-10.2
18400,0.606,0.77,0.399,0.77,0.529,0.0,0.273,0.0,-0.033,-14.333,-0.574,-14.333
18600,0.607,0.76,0.403,0.76,0.53,0.0,0.276,0.0,-0.039,-8.6,-0.58,-8.6
18800,0.609,0.795,0.407,0.795,0.531,0.0,0.279,0.0,-0.044,-9.25,-0.584,-9.25
19000,0.612,0.85,0.412,0.85,0.533,0.0,0.282,0.0,-0.048,-9.0,-0.588,-9.0
19200,0.615,0.885,0.417,0.885,0.535,0.0,0.285,0.0,-0.05,-2.833,-0.59,-2.833
19400,0.616,0.735,0.42,0.75,0.535,-0.029,0.287,0.0,-0.057,-9.6,-0.596,-9.0
19600,0.617,0.725,0.423,0.725,0.535,0.0,0.289,0.0,-0.064,-12.75,-0.603,-12.75
19800,0.619,0.76,0.427,0.79,0.536,-0.055,0.291,0.0,-0.071,-15.0,-0.608,-13.0
20000,0.62,0.76,0.431,0.8,0.536,-0.071,0.294,0.0,-0.077,-8.6,-0.613,-7.0
20200,0.621,0.735,0.434,0.75,0.537,-0.029,0.295,0.0,-0.083,-7.833,-0.618,-7.333
20400,0.622,0.755,0.437,0.755,0.537,0.0,0.297,0.0,-0.089,-7.167,-0.624,-7.167
20600,0.624,0.79,0.44,0.79,0.538,0.0,0.299,0.0,-0.094,-4.25,-0.628,-4.25
20800,0.627,0.94,0.445,0.94,0.54,0.0,0.302,0.0,-0.095,-11.0,-0.629,-11.0
21000,0.63,0.91,0.45,0.91,0.541,0.0,0.305,0.0,-0.098,-17.0,-0.632,-17.0
21200,0.632,0.845,0.453,0.845,0.542,0.0,0.307,0.0,-0.102,-14.5,-0.636,-14.5
21400,0.634,0.825,0.457,0.825,0.543,0.0,0.309,0.0,-0.107,-16.5,-0.64,-16.5
21600,0.635,0.83,0.46,0.83,0.544,0.0,0.311,0.0,-0.111,-16.0,-0.644,-16.0
21800,0.637,0.81,0.464,0.81,0.545,0.0,0.313,0.0,-0.116,-8.5,-0.649,-8.5
22000,0.639,0.845,0.467,0.845,0.545,0.0,0.315,0.0,-0.12,-9.333,-0.653,-9.333
22200,0.642,0.945,0.471,0.945,0.547,0.0,0.317,0.0,-0.121,-2.667,-0.653,-2.667
22400,0.644,0.85,0.475,0.85,0.548,0.0,0.319,0.0,-0.125,-14.0,-0.657,-14.0
22600,0.645,0.82,0.478,0.82,0.549,0.0,0.321,0.0,-0.129,-8.0,-0.661,-8.0
22800,0.647,0.82,0.481,0.82,0.549,0.0,0.322,0.0,-0.134,-8.0,-0.665,-8.0
23000,0.648,0.765,0.483,0.765,0.549,0.0,0.323,0.0,-0.139,-4.875,-0.67,-4.875
23200,0.65,0.895,0.487,0.895,0.55,0.0,0.325,0.0,-0.141,-4.25,-0.672,-4.25
23400,0.651,0.735,0.489,0.735,0.55,0.0,0.326,0.0,-0.148,-9.6,-0.678,-9.6
23600,0.651,0.76,0.491,0.76,0.549,0.0,0.327,0.0,-0.154,-8.6,-0.684,-8.6
23800,0.652,0.69,0.493,0.69,0.549,0.0,0.327,0.0,-0.162,-11.4,-0.692,-11.4
24000,0.654,0.9,0.496,0.9,0.55,0.0,0.329,0.0,-0.164,-5.667,-0.694,-5.667
24200,0.655,0.78,0.499,0.78,0.549,0.0,0.329,0.0,-0.169,-10.0,-0.699,-10.0
24400,0.655,0.685,0.5,0.685,0.549,0.0,0.329,0.0,-0.177,-9.5,-0.706,-9.5
24600,0.657,0.875,0.503,0.875,0.549,0.0,0.331,0.0,-0.18,-5.25,-0.709,-5.25
24800,0.658,0.795,0.506,0.795,0.549,0.0,0.332,0.0,-0.185,-7.2,-0.713,-7.2
25000,0.659,0.81,0.508,0.81,0.549,0.0,0.333,0.0,-0.189,-6.6,-0.717,-6.6
25200,0.66,0.78,0.51,0.78,0.549,0.0,0.333,0.0,-0.194,-5.286,-0.722,-5.286
25400,0.662,0.88,0.513,0.88,0.55,0.0,0.335,0.0,-0.197,-3.8,-0.724,-3.8
25600,0.663,0.85,0.516,0.85,0.55,0.0,0.336,0.0,-0.2,-6.5,-0.727,-6.5
25800,0.664,0.765,0.518,0.765,0.55,0.0,0.336,0.032,-0.206,-4.875,-0.732,-4.875
26000,0.666,0.9,0.521,0.9,0.551,0.0,0.338,0.0,-0.208,-4.0,-0.734,-4.0
26200,0.668,0.865,0.523,0.865,0.551,0.0,0.339,0.0,-0.211,-5.75,-0.736,-5.75
26400,0.668,0.775,0.525,0.775,0.551,0.0,0.339,0.0,-0.216,-4.625,-0.741,-4.625
26600,0.67,0.87,0.528,0.87,0.551,0.0,0.34,0.0,-0.218,-3.333,-0.743,-3.333
26800,0.671,0.845,0.53,0.845,0.551,0.0,0.341,0.0,-0.222,-4.167,-0.746,-4.167
27000,0.672,0.81,0.532,0.81,0.551,0.0,0.342,0.0,-0.225,-2.167,-0.748,-2.167
27200,0.674,0.87,0.535,0.87,0.552,0.0,0.343,0.0,-0.228,-5.5,-0.751,-5.5
27400,0.674,0.72,0.536,0.72,0.551,0.0,0.343,0.0,-0.233,-3.0,-0.755,-3.0
27600,0.675,0.81,0.538,0.81,0.551,0.0,0.343,0.0,-0.238,-8.5,-0.759,-8.5
27800,0.675,0.705,0.539,0.705,0.55,0.0,0.343,0.0,-0.244,-3.917,-0.765,-3.917
28000,0.676,0.84,0.541,0.84,0.55,0.0,0.344,0.0,-0.247,-5.4,-0.768,-5.4
28200,0.677,0.79,0.543,0.79,0.55,0.0,0.344,0.0,-0.252,-3.667,-0.771,-3.667
28400,0.678,0.82,0.545,0.815,0.549,0.043,0.345,0.0,-0.255,-4.143,-0.775,-4.286
28600,0.679,0.83,0.547,0.83,0.549,0.0,0.345,0.0,-0.259,-3.857,-0.778,-3.857
28800,0.68,0.81,0.549,0.8,0.549,0.078,0.346,0.0,-0.263,-5.333,-0.782,-5.667
29000,0.681,0.865,0.551,0.865,0.55,0.0,0.347,0.0,-0.266,-3.5,-0.784,-3.5
29200,0.682,0.77,0.552,0.755,0.549,0.09,0.347,0.0,-0.271,-5.571,-0.789,-6.0
29400,0.684,0.91,0.555,0.91,0.55,0.0,0.348,0.0,-0.272,-2.6,-0.79,-2.6
29600,0.684,0.74,0.556,0.725,0.549,0.077,0.348,0.0,-0.278,-4.2,-0.795,-4.5
29800,0.685,0.86,0.558,0.85,0.549,0.108,0.348,0.0,-0.281,-8.333,-0.799,-9.0
30000,0.686,0.765,0.559,0.765,0.549,0.0,0.348,0.0,-0.285,-2.615,-0.802,-2.615
30200,0.687,0.85,0.561,0.85,0.549,0.0,0.349,0.0,-0.289,-9.0,-0.805,-9.0
30400,0.687,0.79,0.563,0.79,0.548,0.0,0.349,0.0,-0.292,-2.818,-0.808,-2.818
30600,0.688,0.795,0.564,0.795,0.548,0.0,0.349,0.0,-0.297,-9.25,-0.813,-9.25
30800,0.689,0.82,0.566,0.82,0.548,0.0,0.349,0.0,-0.3,-2.6,-0.815,-2.6
31000,0.689,0.73,0.567,0.745,0.547,-0.029,0.349,0.0,-0.307,-9.8,-0.821,-9.2
31200,0.69,0.85,0.569,0.85,0.547,0.0,0.35,0.0,-0.309,-2.333,-0.823,-2.333
31400,0.69,0.695,0.57,0.715,0.546,-0.039,0.349,0.0,-0.317,-9.167,-0.829,-8.5
31600,0.691,0.835,0.571,0.835,0.545,0.0,0.35,0.0,-0.32,-3.125,-0.831,-3.125
31800,0.691,0.715,0.572,0.71,0.545,0.102,0.349,0.0,-0.326,-8.5,-0.838,-8.667
32000,0.692,0.795,0.574,0.795,0.544,0.0,0.35,0.0,-0.33,-4.125,-0.841,-4.125
32200,0.692,0.72,0.574,0.695,0.543,0.191,0.349,0.0,-0.337,-8.333,-0.848,-9.167
32400,0.693,0.775,0.576,0.775,0.543,0.0,0.349,0.0,-0.341,-4.625,-0.852,-4.625
32600,0.693,0.705,0.576,0.67,0.542,0.215,0.349,0.0,-0.348,-7.429,-0.859,-8.429
32800,0.694,0.84,0.578,0.84,0.542,0.0,0.349,0.0,-0.351,-3.571,-0.862,-3.571
33000,0.693,0.65,0.578,0.635,0.541,0.128,0.348,0.0,-0.359,-7.75,-0.87,-8.125
33200,0.695,0.935,0.58,0.935,0.541,0.0,0.349,0.0,-0.36,-2.25,-0.87,-2.25
33400,0.695,0.66,0.58,0.555,0.54,0.178,0.348,-0.079,-0.367,-4.667,-0.879,-6.417
33600,0.696,0.945,0.582,0.945,0.541,0.0,0.349,0.0,-0.368,-1.75,-0.88,-1.75
33800,0.696,0.655,0.583,0.62,0.54,0.223,0.348,0.101,-0.375,-4.308,-0.887,-4.846
34000,0.698,0.965,0.585,0.965,0.541,0.0,0.349,0.0,-0.375,-1.333,-0.887,-1.333
34200,0.697,0.64,0.585,0.57,0.54,0.252,0.348,0.085,-0.382,-5.0,-0.895,-6.167
34400,0.699,0.95,0.587,0.95,0.54,0.547,0.349,0.482,-0.383,-1.5,-0.896,-1.5
34600,0.698,0.625,0.587,0.52,0.539,0.226,0.347,0.016,-0.391,-6.5,-0.906,-8.6
34800,0.699,0.91,0.588,0.91,0.54,0.354,0.348,0.374,-0.393,-5.0,-0.908,-5.0
35000,0.699,0.64,0.588,0.525,0.538,0.251,0.347,0.0,-0.401,-7.0,-0.918,-9.556
35200,0.7,0.87,0.59,0.87,0.539,0.189,0.347,0.249,-0.404,-12.0,-0.921,-12.0
35400,0.7,0.68,0.59,0.575,0.538,0.274,0.346,0.0,-0.411,-6.111,-0.93,-8.444
35600,0.701,0.82,0.591,0.82,0.537,0.064,0.346,0.17,-0.415,-17.0,-0.934,-17.0
35800,0.701,0.705,0.591,0.62,0.537,0.263,0.345,0.0,-0.421,-5.556,-0.942,-7.444
36000,0.701,0.79,0.592,0.775,0.536,0.101,0.345,0.171,-0.427,-20.0,-0.947,-21.5
36200,0.701,0.735,0.592,0.655,0.536,0.283,0.345,0.0,-0.432,-4.889,-0.954,-6.667
36400,0.702,0.75,0.593,0.745,0.535,0.029,0.345,0.199,-0.438,-24.0,-0.96,-24.5
36600,0.702,0.73,0.594,0.69,0.534,0.17,0.344,0.0,-0.444,-5.0,-0.966,-5.889
36800,0.702,0.71,0.594,0.71,0.533,0.0,0.344,0.146,-0.451,-28.0,-0.973,-28.0
37000,0.702,0.77,0.595,0.725,0.533,0.221,0.343,0.0,-0.455,-4.111,-0.978,-5.111
37200,0.702,0.695,0.596,0.685,0.532,0.054,0.343,0.107,-0.463,-60.0,-0.986,-62.0
37400,0.703,0.805,0.596,0.77,0.532,0.217,0.343,0.0,-0.467,-6.8,-0.991,-8.2
37600,0.703,0.675,0.597,0.635,0.531,0.153,0.342,0.087,-0.476,-64.0,-1.001,-72.0
37800,0.703,0.82,0.598,0.815,0.53,0.0,0.342,0.165,-0.48,-11.0,-1.005,-11.333
38000,0.703,0.625,0.598,0.59,0.529,0.146,0.341,0.1,-0.489,-74.0,-1.015,-81.0
38200,0.704,0.89,0.599,0.865,0.529,0.0,0.342,0.485,-0.492,-6.333,-1.018,-8.0
38400,0.703,0.565,0.599,0.625,0.527,0.107,0.342,0.263,-0.503,-86.0,-1.028,-74.0
38600,0.704,0.955,0.601,0.84,0.528,0.0,0.342,0.217,-0.504,-2.0,-1.031,-9.667
38800,0.703,0.515,0.6,0.565,0.526,0.03,0.341,0.163,-0.516,-47.5,-1.042,-42.5
39000,0.705,1.0,0.602,0.93,0.527,1,0.342,0.0,-0.516,1,-1.044,1
39200,0.704,0.5,0.602,0.495,0.525,0.008,0.34,0.042,-0.529,-49.0,-1.056,-49.5
39400,0.705,1.0,0.604,1.0,0.525,1,0.341,1,-0.529,1,-1.056,1
39600,0.704,0.45,0.603,0.49,0.523,-0.083,0.34,0.046,-0.543,-54.0,-1.069,-50.0
39800,0.705,0.955,0.605,1.0,0.523,0.0,0.341,1,-0.544,1,-1.069,1
40000,0.704,0.505,0.606,0.74,0.521,0.036,0.342,0.507,-0.557,-48.5,-1.076,-25.0
40200,0.706,0.955,0.608,1.0,0.522,0.0,0.343,1,-0.558,1,-1.076,1
40400,0.705,0.53,0.609,0.865,0.52,0.077,0.346,0.745,-0.57,-46.0,-1.079,-12.5
40600,0.706,0.955,0.611,1.0,0.52,0.0,0.347,1,-0.571,1,-1.079,1
40800,0.705,0.535,0.612,0.87,0.518,0.078,0.35,0.755,-0.583,-45.5,-1.082,-12.0
41000,0.706,0.93,0.614,0.965,0.519,-0.036,0.35,0.0,-0.584,-2.5,-1.081,-0.75
41200,0.705,0.54,0.615,0.88,0.517,0.088,0.353,0.772,-0.595,-45.0,-1.084,-11.0
41400,0.706,0.89,0.617,0.915,0.517,-0.04,0.353,0.097,-0.598,-6.333,-1.085,-4.667
41600,0.706,0.58,0.618,0.91,0.516,0.153,0.356,0.828,-0.609,-83.0,-1.087,-17.0
41800,0.706,0.855,0.619,0.865,0.516,0.281,0.356,0.336,-0.612,-8.667,-1.09,-8.0
42000,0.706,0.585,0.621,0.91,0.514,0.14,0.359,0.818,-0.622,-40.5,-1.092,-8.0
42200,0.707,0.88,0.622,0.875,0.514,0.531,0.36,0.53,-0.625,-11.0,-1.095,-11.5
42400,0.706,0.555,0.623,0.84,0.513,0.012,0.361,0.67,-0.636,-16.8,-1.098,-5.4
42600,0.707,0.865,0.624,0.87,0.513,0.519,0.362,0.617,-0.639,-26.0,-1.101,-25.0
42800,0.706,0.575,0.625,0.805,0.511,0.013,0.363,0.579,-0.649,-16.0,-1.104,-6.8
43000,0.707,0.835,0.626,0.925,0.512,0.488,0.365,0.81,-0.653,-32.0,-1.106,-14.0
43200,0.706,0.64,0.627,0.795,0.51,0.034,0.365,0.504,-0.661,-13.4,-1.11,-7.2
43400,0.707,0.77,0.628,0.925,0.51,0.399,0.367,0.841,-0.667,-45.0,-1.112,-14.0
43600,0.707,0.7,0.629,0.78,0.509,0.064,0.367,0.397,-0.674,-7.571,-1.116,-5.286
43800,0.707,0.71,0.63,0.91,0.509,0.326,0.37,0.826,-0.681,-57.0,-1.118,-17.0
44000,0.707,0.8,0.631,0.845,0.508,0.188,0.37,0.459,-0.685,-4.714,-1.12,-3.429
44200,0.707,0.68,0.632,0.88,0.508,0.341,0.372,0.784,-0.693,-63.0,-1.123,-23.0
44400,0.708,0.86,0.633,0.87,0.508,0.153,0.373,0.274,-0.695,-3.0,-1.124,-2.714
44600,0.707,0.635,0.635,0.86,0.507,0.286,0.375,0.755,-0.704,-35.5,-1.127,-13.0
44800,0.708,0.89,0.636,0.89,0.507,0.0,0.375,0.0,-0.706,-4.5,-1.129,-4.5
45000,0.708,0.615,0.637,0.85,0.507,0.241,0.377,0.739,-0.715,-37.5,-1.132,-14.0
