# SETUP BEGIN
# File Stream: file_name: ../datasets/covtype.csv  -  num_classes: 7  -  num_classification_tasks: 1
# Pipeline: Classifier: no info available
# ADFHoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: mc - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_instances: 100000 - max_time: 1000 - output_file: comparison_Bernoulli_ADFH_Preq.csv - batch_size: 1 - pretrain_size: 200 - task_type: classification - show_plotTrue - plot_options: ['kappa', 'kappa_t', 'performance']
# SETUP END
x_count,global_performance_0,sliding_window_performance_0,global_performance_1,sliding_window_performance_1,global_kappa_0,sliding_window_kappa_0,global_kappa_1,sliding_window_kappa_1,global_kappa_t_0,sliding_window_kappa_t_0,global_kappa_t_1,sliding_window_kappa_t_1
45200,0.709,0.91,0.638,0.885,0.507,0.0,0.378,0.524,-0.717,-3.5,-1.134,-4.75
45400,0.708,0.6,0.638,0.815,0.506,0.227,0.38,0.686,-0.727,-39.0,-1.139,-17.5
45600,0.709,0.92,0.64,0.92,0.506,0.0,0.38,0.0,-0.728,-3.0,-1.139,-3.0
45800,0.709,0.625,0.64,0.81,0.506,0.273,0.382,0.679,-0.737,-36.5,-1.144,-18.0
46000,0.71,0.945,0.642,0.945,0.506,0.0,0.382,0.0,-0.738,-1.75,-1.144,-1.75
46200,0.709,0.63,0.642,0.8,0.505,0.277,0.384,0.663,-0.747,-36.0,-1.149,-19.0
46400,0.711,0.99,0.644,0.99,0.506,0.0,0.385,0.0,-0.747,0.0,-1.149,0.0
46600,0.71,0.625,0.645,0.795,0.505,0.264,0.386,0.654,-0.756,-36.5,-1.153,-19.5
46800,0.711,1.0,0.646,1.0,0.506,1,0.387,1,-0.756,1,-1.153,1
47000,0.711,0.635,0.647,0.795,0.505,0.281,0.389,0.65,-0.765,-35.5,-1.158,-19.5
47200,0.712,1.0,0.648,1.0,0.506,1,0.389,1,-0.765,1,-1.158,1
47400,0.712,0.635,0.649,0.79,0.505,0.288,0.391,0.645,-0.774,-35.5,-1.163,-20.0
47600,0.713,0.98,0.65,1.0,0.506,0.0,0.391,1,-0.775,1,-1.163,1
47800,0.713,0.635,0.651,0.785,0.505,0.308,0.393,0.631,-0.784,-35.5,-1.168,-20.5
48000,0.714,0.985,0.652,1.0,0.505,0.0,0.393,1,-0.784,1,-1.168,1
48200,0.714,0.715,0.653,0.775,0.505,0.423,0.395,0.607,-0.791,-27.5,-1.173,-21.5
48400,0.715,0.97,0.654,0.985,0.506,-0.015,0.395,0.0,-0.791,-2.0,-1.173,-0.5
48600,0.715,0.715,0.655,0.785,0.505,0.399,0.396,0.611,-0.798,-27.5,-1.178,-20.5
48800,0.716,0.965,0.656,0.98,0.506,-0.017,0.397,0.0,-0.799,-2.5,-1.178,-1.0
49000,0.716,0.785,0.657,0.785,0.506,0.543,0.398,0.602,-0.804,-20.5,-1.183,-20.5
49200,0.717,0.965,0.658,0.98,0.506,-0.017,0.398,0.0,-0.804,-2.5,-1.183,-1.0
49400,0.718,0.805,0.659,0.845,0.507,0.541,0.399,0.671,-0.809,-18.5,-1.186,-14.5
49600,0.719,0.945,0.66,0.93,0.507,0.812,0.4,0.77,-0.81,-2.667,-1.187,-3.667
49800,0.719,0.85,0.661,0.9,0.507,0.143,0.401,0.52,-0.813,-29.0,-1.19,-19.0
50000,0.719,0.79,0.661,0.83,0.507,0.492,0.402,0.613,-0.818,-9.5,-1.193,-7.5
50200,0.72,0.955,0.663,0.975,0.508,-0.023,0.402,0.0,-0.819,-3.5,-1.193,-1.5
50400,0.721,0.835,0.663,0.825,0.508,0.578,0.403,0.584,-0.822,-15.5,-1.197,-16.5
50600,0.722,0.955,0.665,0.975,0.508,-0.023,0.403,0.0,-0.823,-3.5,-1.197,-1.5
50800,0.722,0.83,0.665,0.81,0.508,0.563,0.404,0.543,-0.827,-16.0,-1.202,-18.0
51000,0.723,0.925,0.666,0.9,0.509,0.754,0.405,0.684,-0.828,-4.0,-1.203,-5.667
51200,0.723,0.805,0.667,0.82,0.509,0.139,0.404,0.234,-0.833,-18.5,-1.207,-17.0
51400,0.723,0.77,0.667,0.74,0.509,0.455,0.405,0.429,-0.838,-14.333,-1.213,-16.333
51600,0.724,0.93,0.668,0.965,0.509,-0.036,0.405,0.0,-0.839,-6.0,-1.214,-2.5
51800,0.725,0.805,0.668,0.745,0.509,0.525,0.405,0.44,-0.844,-18.5,-1.22,-24.5
52000,0.725,0.93,0.67,0.965,0.509,-0.036,0.406,0.0,-0.845,-6.0,-1.22,-2.5
52200,0.726,0.8,0.67,0.745,0.509,0.494,0.406,0.416,-0.849,-9.0,-1.225,-11.75
52400,0.726,0.885,0.671,0.855,0.51,0.657,0.406,0.588,-0.852,-6.667,-1.228,-8.667
52600,0.727,0.845,0.671,0.825,0.509,0.176,0.406,0.0,-0.855,-5.2,-1.231,-6.0
52800,0.727,0.785,0.672,0.85,0.509,0.47,0.407,0.676,-0.86,-20.5,-1.235,-14.0
53000,0.728,0.895,0.673,0.935,0.509,-0.052,0.407,0.0,-0.861,-4.25,-1.235,-2.25
53200,0.728,0.8,0.673,0.83,0.509,0.512,0.408,0.647,-0.866,-19.0,-1.239,-16.0
53400,0.728,0.895,0.674,0.84,0.51,0.571,0.408,0.321,-0.867,-3.2,-1.242,-5.4
53600,0.728,0.705,0.675,0.85,0.509,0.208,0.409,0.641,-0.874,-10.8,-1.244,-5.0
53800,0.728,0.735,0.675,0.805,0.509,0.388,0.41,0.593,-0.88,-25.5,-1.248,-18.5
54000,0.729,0.895,0.676,0.91,0.509,-0.026,0.41,0.0,-0.881,-2.5,-1.249,-2.0
54200,0.729,0.755,0.677,0.88,0.509,0.419,0.411,0.755,-0.887,-23.5,-1.252,-11.0
54400,0.73,0.88,0.678,0.895,0.509,0.038,0.411,0.041,-0.889,-2.429,-1.252,-2.0
54600,0.729,0.64,0.678,0.765,0.508,0.245,0.412,0.54,-0.896,-11.0,-1.256,-6.833
54800,0.729,0.675,0.678,0.795,0.507,0.219,0.413,0.562,-0.904,-20.667,-1.261,-12.667
55000,0.73,0.855,0.679,0.88,0.507,-0.043,0.413,0.0,-0.906,-3.833,-1.262,-3.0
55200,0.729,0.67,0.679,0.765,0.506,0.264,0.413,0.528,-0.914,-21.0,-1.267,-14.667
55400,0.73,0.78,0.68,0.89,0.506,0.127,0.414,0.608,-0.918,-4.5,-1.268,-1.75
55600,0.729,0.665,0.681,0.84,0.505,0.218,0.415,0.664,-0.925,-8.571,-1.27,-3.571
55800,0.729,0.615,0.682,0.95,0.504,0.116,0.416,0.897,-0.933,-18.25,-1.27,-1.5
56000,0.729,0.76,0.682,0.835,0.503,-0.119,0.416,0.164,-0.938,-5.0,-1.272,-3.125
56200,0.729,0.6,0.683,0.895,0.502,0.18,0.418,0.794,-0.946,-12.333,-1.273,-2.5
56400,0.728,0.635,0.684,0.875,0.501,0.11,0.419,0.733,-0.954,-13.6,-1.275,-4.0
56600,0.728,0.7,0.684,0.815,0.5,0.056,0.419,0.453,-0.96,-5.667,-1.277,-3.111
56800,0.728,0.6,0.685,0.845,0.499,0.206,0.421,0.701,-0.968,-12.333,-1.279,-4.167
57000,0.728,0.73,0.685,0.82,0.499,0.26,0.421,0.561,-0.974,-9.8,-1.282,-6.2
57200,0.727,0.645,0.686,0.855,0.498,0.062,0.422,0.66,-0.981,-6.1,-1.283,-1.9
57400,0.727,0.61,0.686,0.785,0.497,0.252,0.423,0.596,-0.988,-7.667,-1.286,-3.778
57600,0.727,0.735,0.686,0.8,0.497,0.247,0.423,0.481,-0.994,-9.6,-1.289,-7.0
57800,0.727,0.68,0.687,0.87,0.496,0.134,0.424,0.699,-1.0,-7.0,-1.29,-2.25
58000,0.726,0.58,0.687,0.735,0.495,0.239,0.425,0.506,-1.008,-9.5,-1.295,-5.625
58200,0.727,0.8,0.688,0.83,0.495,0.398,0.425,0.511,-1.012,-5.667,-1.297,-4.667
58400,0.726,0.665,0.688,0.855,0.494,0.215,0.426,0.688,-1.018,-6.444,-1.298,-2.222
58600,0.726,0.705,0.689,0.79,0.494,0.428,0.427,0.61,-1.023,-6.375,-1.301,-4.25
58800,0.727,0.805,0.689,0.775,0.494,0.396,0.427,0.35,-1.026,-3.333,-1.304,-4.0
59000,0.727,0.715,0.689,0.825,0.494,0.38,0.428,0.63,-1.031,-7.143,-1.307,-4.0
59200,0.726,0.665,0.69,0.795,0.494,0.363,0.429,0.621,-1.039,-12.4,-1.31,-7.2
59400,0.727,0.82,0.69,0.82,0.494,0.425,0.429,0.463,-1.041,-3.5,-1.313,-3.5
59600,0.727,0.725,0.691,0.895,0.493,0.348,0.43,0.776,-1.046,-6.857,-1.313,-2.0
59800,0.726,0.67,0.691,0.815,0.493,0.34,0.431,0.644,-1.053,-10.0,-1.316,-5.167
60000,0.727,0.8,0.692,0.875,0.493,0.427,0.432,0.673,-1.057,-7.0,-1.318,-4.0
60200,0.727,0.695,0.692,0.805,0.492,0.166,0.432,0.54,-1.062,-6.625,-1.32,-3.875
60400,0.726,0.67,0.693,0.86,0.492,0.292,0.434,0.726,-1.069,-12.2,-1.322,-4.6
60600,0.726,0.725,0.693,0.86,0.491,0.288,0.434,0.668,-1.074,-6.857,-1.324,-3.0
60800,0.726,0.61,0.693,0.7,0.49,-0.068,0.434,0.299,-1.081,-6.8,-1.328,-5.0
61000,0.726,0.665,0.694,0.855,0.489,0.244,0.435,0.705,-1.088,-8.571,-1.33,-3.143
61200,0.726,0.73,0.694,0.8,0.489,0.324,0.435,0.543,-1.092,-4.4,-1.332,-3.0
61400,0.726,0.7,0.694,0.72,0.488,-0.046,0.435,0.141,-1.096,-3.286,-1.335,-3.0
61600,0.726,0.78,0.695,0.845,0.488,0.431,0.436,0.663,-1.099,-4.5,-1.337,-2.875
61800,0.726,0.695,0.695,0.785,0.488,0.182,0.436,0.481,-1.105,-9.167,-1.34,-6.167
62000,0.726,0.685,0.695,0.72,0.487,-0.064,0.435,0.122,-1.111,-5.3,-1.344,-4.6
62200,0.726,0.72,0.696,0.775,0.486,0.24,0.436,0.506,-1.114,-3.667,-1.346,-2.75
62400,0.725,0.62,0.695,0.655,0.485,0.05,0.435,0.231,-1.121,-7.444,-1.352,-6.667
62600,0.725,0.63,0.695,0.675,0.484,-0.091,0.434,0.085,-1.128,-5.727,-1.357,-4.909
62800,0.725,0.655,0.695,0.685,0.483,0.186,0.434,0.34,-1.133,-4.75,-1.361,-4.25
63000,0.724,0.575,0.695,0.695,0.482,0.059,0.434,0.36,-1.141,-8.444,-1.366,-5.778
63200,0.724,0.72,0.695,0.69,0.482,0.144,0.434,0.093,-1.146,-5.222,-1.371,-5.889
63400,0.724,0.675,0.695,0.73,0.481,0.261,0.434,0.446,-1.151,-5.5,-1.375,-4.4
63600,0.724,0.62,0.696,0.745,0.48,0.164,0.434,0.476,-1.158,-6.6,-1.378,-4.1
63800,0.724,0.705,0.696,0.705,0.48,-0.024,0.434,-0.006,-1.162,-3.917,-1.382,-3.917
64000,0.724,0.65,0.696,0.875,0.479,0.181,0.435,0.741,-1.168,-7.75,-1.383,-2.125
64200,0.723,0.62,0.697,0.81,0.478,0.188,0.436,0.612,-1.175,-8.5,-1.385,-3.75
64400,0.723,0.785,0.697,0.755,0.478,-0.01,0.435,-0.053,-1.177,-2.583,-1.388,-3.083
64600,0.723,0.715,0.697,0.91,0.477,0.288,0.436,0.807,-1.182,-6.125,-1.387,-1.25
64800,0.723,0.69,0.698,0.825,0.477,0.297,0.437,0.634,-1.188,-9.333,-1.39,-4.833
65000,0.723,0.75,0.698,0.72,0.476,0.027,0.436,-0.025,-1.191,-3.545,-1.394,-4.091
65200,0.723,0.725,0.698,0.86,0.476,0.318,0.437,0.694,-1.195,-4.0,-1.394,-1.545
65400,0.723,0.585,0.698,0.655,0.475,0.195,0.437,0.319,-1.205,-40.5,-1.402,-33.5
65600,0.723,0.69,0.698,0.655,0.475,-0.01,0.436,-0.073,-1.21,-7.857,-1.408,-8.857
65800,0.723,0.75,0.698,0.83,0.474,0.37,0.437,0.622,-1.215,-6.143,-1.41,-3.857
66000,0.723,0.595,0.698,0.6,0.474,0.177,0.436,0.194,-1.223,-19.25,-1.419,-19.0
66200,0.723,0.76,0.698,0.725,0.473,-0.029,0.436,-0.085,-1.227,-5.857,-1.423,-6.857
66400,0.722,0.68,0.698,0.735,0.472,0.194,0.436,0.363,-1.233,-6.111,-1.427,-4.889
66600,0.723,0.77,0.699,0.84,0.472,0.262,0.436,0.478,-1.237,-14.333,-1.43,-9.667
66800,0.723,0.78,0.699,0.795,0.472,0.094,0.436,0.408,-1.241,-5.286,-1.433,-4.857
67000,0.722,0.615,0.699,0.79,0.471,0.077,0.436,0.55,-1.249,-11.833,-1.436,-6.0
67200,0.723,0.83,0.7,0.82,0.471,0.029,0.436,0.013,-1.25,-2.778,-1.438,-3.0
67400,0.723,0.68,0.7,0.84,0.47,0.105,0.436,0.633,-1.257,-11.8,-1.44,-5.4
67600,0.723,0.785,0.701,0.91,0.47,0.173,0.437,0.688,-1.261,-13.333,-1.442,-5.0
67800,0.723,0.78,0.701,0.77,0.469,-0.09,0.437,0.354,-1.265,-13.667,-1.446,-14.333
68000,0.723,0.63,0.701,0.855,0.468,0.022,0.437,0.671,-1.272,-9.571,-1.448,-3.143
68200,0.723,0.86,0.702,0.865,0.468,-0.074,0.437,-0.071,-1.274,-4.6,-1.449,-4.4
68400,0.723,0.62,0.702,0.815,0.467,-0.015,0.438,0.573,-1.282,-11.667,-1.452,-5.167
68600,0.723,0.7,0.703,0.895,0.466,0.018,0.438,0.692,-1.288,-19.0,-1.454,-6.0
68800,0.723,0.79,0.703,0.88,0.466,-0.115,0.438,0.559,-1.293,-13.0,-1.456,-7.0
69000,0.723,0.645,0.704,0.895,0.465,0.011,0.439,0.752,-1.299,-10.833,-1.457,-2.5
69200,0.723,0.815,0.704,0.865,0.465,0.126,0.439,0.226,-1.303,-11.333,-1.459,-8.0
69400,0.723,0.625,0.704,0.77,0.463,-0.165,0.439,0.486,-1.311,-24.0,-1.464,-14.333
69600,0.723,0.665,0.705,0.845,0.463,-0.022,0.44,0.606,-1.318,-15.75,-1.466,-6.75
69800,0.723,0.875,0.705,0.88,0.462,0.0,0.44,0.0,-1.321,1,-1.469,1
70000,0.723,0.575,0.706,0.75,0.461,-0.174,0.44,0.421,-1.33,-13.167,-1.473,-7.333
70200,0.722,0.635,0.706,0.885,0.46,-0.08,0.44,0.693,-1.338,-35.5,-1.475,-10.5
70400,0.723,0.82,0.706,0.835,0.46,-0.087,0.44,0.029,-1.341,-5.0,-1.478,-4.5
70600,0.722,0.54,0.707,0.75,0.459,0.03,0.44,0.485,-1.349,-10.5,-1.481,-5.25
70800,0.722,0.725,0.707,0.94,0.458,-0.015,0.441,0.822,-1.355,-26.5,-1.482,-5.0
71000,0.722,0.7,0.707,0.765,0.457,0.042,0.441,0.295,-1.361,-9.0,-1.486,-6.833
71200,0.722,0.575,0.707,0.73,0.457,0.127,0.441,0.455,-1.369,-9.625,-1.49,-5.75
71400,0.722,0.83,0.708,0.93,0.456,0.174,0.441,0.692,-1.372,-10.333,-1.491,-3.667
71600,0.722,0.635,0.708,0.76,0.455,0.029,0.441,0.43,-1.379,-9.429,-1.494,-5.857
71800,0.721,0.545,0.708,0.72,0.454,0.132,0.442,0.462,-1.387,-8.1,-1.498,-4.6
72000,0.721,0.725,0.709,0.86,0.454,-0.07,0.442,0.503,-1.392,-10.0,-1.5,-4.6
72200,0.721,0.53,0.709,0.67,0.453,-0.099,0.441,0.271,-1.4,-9.444,-1.505,-6.333
72400,0.72,0.515,0.708,0.66,0.451,0.043,0.441,0.358,-1.409,-9.778,-1.51,-6.556
72600,0.72,0.69,0.709,0.8,0.451,-0.103,0.441,0.252,-1.415,-9.333,-1.513,-5.667
72800,0.719,0.51,0.708,0.64,0.449,-0.104,0.441,0.218,-1.425,-13.0,-1.52,-9.286
73000,0.719,0.55,0.708,0.61,0.448,-0.01,0.44,0.174,-1.432,-7.182,-1.526,-6.091
73200,0.719,0.75,0.709,0.88,0.448,-0.098,0.44,0.545,-1.436,-6.143,-1.527,-2.429
73400,0.719,0.625,0.709,0.765,0.447,-0.131,0.44,0.245,-1.443,-11.5,-1.53,-6.833
73600,0.718,0.555,0.709,0.68,0.446,-0.06,0.44,0.32,-1.451,-7.9,-1.535,-5.4
73800,0.718,0.745,0.709,0.89,0.445,-0.11,0.44,0.58,-1.455,-7.5,-1.536,-2.667
74000,0.718,0.695,0.709,0.76,0.444,0.151,0.44,0.297,-1.461,-9.167,-1.54,-7.0
74200,0.718,0.52,0.709,0.76,0.443,-0.109,0.44,0.469,-1.47,-11.0,-1.543,-5.0
74400,0.718,0.71,0.71,0.855,0.443,-0.052,0.44,0.64,-1.474,-7.286,-1.544,-3.143
74600,0.718,0.72,0.71,0.865,0.442,0.176,0.441,0.547,-1.48,-10.2,-1.546,-4.4
74800,0.717,0.555,0.71,0.71,0.441,-0.085,0.441,0.394,-1.487,-7.9,-1.55,-4.8
75000,0.718,0.755,0.711,0.795,0.44,-0.043,0.441,0.52,-1.491,-6.0,-1.552,-4.857
75200,0.718,0.8,0.711,0.795,0.44,0.166,0.441,0.289,-1.493,-4.714,-1.555,-4.857
75400,0.718,0.65,0.71,0.595,0.439,-0.01,0.44,0.256,-1.498,-4.833,-1.561,-5.75
75600,0.718,0.79,0.711,0.785,0.439,0.069,0.44,0.506,-1.501,-5.0,-1.564,-5.143
75800,0.718,0.85,0.711,0.825,0.439,0.008,0.44,0.381,-1.503,-4.0,-1.566,-4.833
76000,0.718,0.78,0.711,0.625,0.439,0.057,0.44,0.162,-1.505,-3.0,-1.572,-5.818
76200,0.718,0.805,0.711,0.77,0.438,0.141,0.439,0.385,-1.507,-3.333,-1.574,-4.111
76400,0.719,0.83,0.711,0.85,0.438,-0.071,0.439,0.431,-1.509,-5.8,-1.576,-5.0
76600,0.719,0.81,0.711,0.635,0.438,0.144,0.439,-0.055,-1.511,-2.8,-1.582,-6.3
76800,0.719,0.74,0.711,0.68,0.437,0.069,0.438,0.261,-1.513,-3.0,-1.585,-3.923
77000,0.719,0.82,0.711,0.82,0.437,-0.06,0.438,0.436,-1.515,-4.143,-1.588,-4.143
77200,0.72,0.815,0.711,0.7,0.437,0.086,0.438,0.15,-1.518,-5.167,-1.593,-9.0
77400,0.719,0.65,0.711,0.65,0.436,-0.021,0.437,0.209,-1.523,-7.75,-1.598,-7.75
77600,0.72,0.83,0.711,0.845,0.436,-0.028,0.437,0.431,-1.527,-16.0,-1.601,-14.5
77800,0.72,0.85,0.712,0.785,0.436,0.181,0.437,0.169,-1.528,-4.0,-1.605,-6.167
78000,0.72,0.69,0.711,0.665,0.435,-0.004,0.436,0.183,-1.533,-6.75,-1.61,-7.375
78200,0.72,0.76,0.712,0.755,0.435,0.003,0.436,0.353,-1.537,-5.857,-1.614,-6.0
78400,0.72,0.81,0.712,0.925,0.434,0.121,0.437,0.695,-1.54,-11.667,-1.614,-4.0
78600,0.721,0.82,0.712,0.85,0.434,0.045,0.437,0.379,-1.543,-5.0,-1.616,-4.0
78800,0.72,0.67,0.713,0.79,0.433,-0.138,0.437,0.447,-1.548,-7.25,-1.618,-4.25
79000,0.721,0.865,0.713,0.9,0.433,-0.027,0.437,0.527,-1.551,-12.5,-1.62,-9.0
79200,0.721,0.775,0.713,0.835,0.433,-0.091,0.437,0.394,-1.554,-5.429,-1.622,-3.714
79400,0.721,0.685,0.714,0.74,0.432,-0.084,0.437,0.348,-1.559,-8.0,-1.626,-6.429
79600,0.721,0.735,0.714,0.795,0.432,-0.029,0.437,0.464,-1.563,-7.833,-1.629,-5.833
79800,0.721,0.835,0.714,0.87,0.431,0.048,0.437,0.492,-1.566,-7.25,-1.63,-5.5
80000,0.721,0.845,0.714,0.715,0.431,0.118,0.437,0.148,-1.567,-2.875,-1.635,-6.125
80200,0.721,0.72,0.714,0.635,0.431,0.059,0.436,0.163,-1.571,-6.0,-1.641,-8.125
80400,0.722,0.845,0.714,0.855,0.431,-0.036,0.436,0.456,-1.574,-14.5,-1.643,-13.5
80600,0.722,0.855,0.714,0.68,0.43,0.187,0.435,0.047,-1.576,-3.833,-1.649,-9.667
80800,0.722,0.68,0.714,0.605,0.43,0.051,0.435,0.151,-1.581,-9.667,-1.656,-12.167
81000,0.722,0.77,0.714,0.85,0.429,-0.029,0.435,0.584,-1.586,-14.333,-1.659,-9.0
81200,0.722,0.795,0.714,0.725,0.429,0.102,0.435,0.165,-1.589,-9.25,-1.664,-12.75
81400,0.722,0.725,0.714,0.655,0.429,0.047,0.434,0.149,-1.594,-10.0,-1.67,-12.8
81600,0.722,0.695,0.714,0.775,0.428,-0.029,0.434,0.433,-1.6,-14.25,-1.674,-10.25
81800,0.723,0.89,0.714,0.79,0.428,0.193,0.434,0.072,-1.601,-4.5,-1.678,-9.5
82000,0.723,0.765,0.714,0.71,0.428,0.09,0.434,0.227,-1.605,-10.75,-1.683,-13.5
82200,0.723,0.73,0.714,0.705,0.427,0.086,0.433,0.264,-1.61,-8.0,-1.688,-8.833
82400,0.723,0.935,0.715,0.85,0.427,-0.024,0.433,-0.007,-1.611,-5.5,-1.691,-14.0
82600,0.723,0.795,0.715,0.81,0.427,0.144,0.433,0.488,-1.614,-9.25,-1.694,-8.5
82800,0.723,0.725,0.715,0.695,0.427,0.069,0.433,0.273,-1.619,-8.167,-1.699,-9.167
83000,0.724,0.915,0.715,0.9,0.427,-0.032,0.433,0.28,-1.62,-7.5,-1.701,-9.0
83200,0.724,0.785,0.716,0.805,0.426,0.089,0.433,0.48,-1.624,-9.75,-1.704,-8.75
83400,0.724,0.69,0.716,0.75,0.426,-0.115,0.433,0.406,-1.629,-9.333,-1.708,-7.333
83600,0.724,0.93,0.716,0.915,0.426,0.342,0.433,0.407,-1.629,-2.5,-1.708,-3.25
83800,0.724,0.735,0.716,0.78,0.425,0.005,0.433,0.417,-1.634,-7.833,-1.712,-6.333
84000,0.724,0.735,0.716,0.725,0.425,-0.038,0.433,0.366,-1.637,-5.625,-1.715,-5.875
84200,0.725,0.855,0.717,0.82,0.425,0.148,0.433,0.072,-1.638,-1.9,-1.716,-2.6
84400,0.725,0.795,0.717,0.77,0.424,0.097,0.433,0.404,-1.64,-5.833,-1.72,-6.667
84600,0.725,0.71,0.717,0.665,0.424,-0.029,0.432,0.217,-1.644,-4.273,-1.724,-5.091
84800,0.725,0.845,0.717,0.82,0.424,0.112,0.432,-0.011,-1.646,-5.2,-1.727,-6.2
85000,0.725,0.815,0.717,0.775,0.423,0.115,0.432,0.413,-1.646,-2.083,-1.728,-2.75
85200,0.725,0.7,0.717,0.685,0.423,0.067,0.432,0.24,-1.65,-4.0,-1.731,-4.25
85400,0.726,0.895,0.717,0.87,0.423,0.0,0.432,0.308,-1.651,-4.25,-1.733,-5.5
85600,0.726,0.81,0.717,0.79,0.423,0.112,0.432,0.305,-1.653,-3.75,-1.735,-4.25
85800,0.726,0.69,0.717,0.665,0.422,0.063,0.431,0.194,-1.657,-6.75,-1.74,-7.375
86000,0.726,0.825,0.718,0.87,0.422,-0.019,0.431,0.588,-1.66,-7.75,-1.742,-5.5
86200,0.726,0.815,0.718,0.76,0.422,0.176,0.431,0.123,-1.663,-6.4,-1.746,-8.6
86400,0.726,0.705,0.718,0.64,0.421,0.106,0.43,0.104,-1.667,-7.429,-1.752,-9.286
86600,0.726,0.695,0.718,0.715,0.421,-0.029,0.43,0.325,-1.672,-7.714,-1.756,-7.143
86800,0.726,0.84,0.718,0.81,0.421,0.331,0.43,0.306,-1.674,-5.4,-1.759,-6.6
87000,0.726,0.725,0.718,0.775,0.42,0.014,0.43,0.388,-1.678,-5.875,-1.762,-4.625
87200,0.726,0.685,0.718,0.73,0.419,0.04,0.43,0.412,-1.682,-5.3,-1.765,-4.4
87400,0.727,0.915,0.718,0.86,0.419,-0.04,0.43,0.274,-1.682,-1.833,-1.766,-3.667
87600,0.727,0.76,0.718,0.775,0.419,0.153,0.43,0.42,-1.684,-3.8,-1.768,-3.5
87800,0.727,0.735,0.718,0.56,0.419,0.128,0.429,0.079,-1.687,-3.417,-1.774,-6.333
88000,0.727,0.9,0.718,0.875,0.419,-0.052,0.429,0.419,-1.688,-4.0,-1.775,-5.25
88200,0.727,0.795,0.718,0.7,0.419,0.319,0.429,0.178,-1.69,-3.556,-1.779,-5.667
88400,0.728,0.81,0.718,0.495,0.419,0.395,0.428,-0.193,-1.691,-3.222,-1.788,-10.222
88600,0.728,0.88,0.718,0.935,0.418,-0.062,0.428,0.55,-1.693,-11.0,-1.789,-5.5
88800,0.728,0.835,0.718,0.63,0.419,0.447,0.427,-0.029,-1.695,-4.5,-1.795,-11.333
89000,0.728,0.84,0.718,0.675,0.419,0.5,0.426,-0.187,-1.698,-15.0,-1.802,-31.5
89200,0.729,0.855,0.719,0.955,0.418,-0.078,0.427,0.734,-1.7,-6.25,-1.801,-1.25
89400,0.729,0.785,0.719,0.745,0.418,0.425,0.427,0.325,-1.703,-6.167,-1.805,-7.5
89600,0.729,0.685,0.718,0.64,0.418,0.235,0.426,0.082,-1.708,-9.5,-1.811,-11.0
89800,0.729,0.88,0.719,0.91,0.418,-0.052,0.426,0.405,-1.71,-5.0,-1.812,-3.5
90000,0.729,0.73,0.719,0.66,0.418,0.285,0.426,0.114,-1.714,-8.0,-1.818,-10.333
90200,0.729,0.72,0.719,0.695,0.417,0.204,0.425,0.022,-1.718,-8.333,-1.823,-9.167
90400,0.729,0.835,0.719,0.845,0.417,0.017,0.425,0.312,-1.721,-10.0,-1.825,-9.333
90600,0.73,0.84,0.719,0.795,0.417,0.349,0.425,0.268,-1.722,-2.556,-1.827,-3.556
90800,0.73,0.81,0.719,0.825,0.417,0.135,0.425,-0.092,-1.724,-3.75,-1.828,-3.375
91000,0.73,0.785,0.72,0.78,0.417,0.096,0.424,0.117,-1.726,-3.3,-1.83,-3.4
91200,0.73,0.885,0.72,0.87,0.416,-0.06,0.424,0.297,-1.727,-4.75,-1.832,-5.5
91400,0.731,0.87,0.72,0.82,0.416,0.313,0.424,0.204,-1.727,-1.6,-1.833,-2.6
91600,0.731,0.915,0.72,0.88,0.417,0.41,0.424,-0.063,-1.727,-3.25,-1.834,-5.0
91800,0.731,0.87,0.721,0.765,0.416,0.249,0.424,0.148,-1.728,-2.25,-1.837,-4.875
92000,0.732,0.91,0.721,0.905,0.416,-0.042,0.424,0.377,-1.729,-3.5,-1.838,-3.75
92200,0.732,0.88,0.721,0.83,0.416,0.315,0.424,0.294,-1.729,-2.0,-1.839,-3.25
92400,0.732,0.915,0.721,0.825,0.417,0.444,0.424,-0.025,-1.73,-3.25,-1.841,-7.75
92600,0.733,0.855,0.722,0.8,0.416,0.274,0.424,0.287,-1.731,-3.833,-1.844,-5.667
92800,0.733,0.885,0.722,0.9,0.416,0.02,0.424,0.518,-1.732,-4.75,-1.845,-4.0
93000,0.733,0.915,0.722,0.845,0.416,0.375,0.424,0.332,-1.733,-3.25,-1.847,-6.75
93200,0.734,0.935,0.722,0.835,0.417,0.549,0.423,0.033,-1.733,-2.25,-1.849,-7.25
93400,0.734,0.89,0.723,0.775,0.417,0.415,0.423,0.212,-1.734,-2.667,-1.853,-6.5
93600,0.734,0.87,0.723,0.88,0.417,0.128,0.423,0.351,-1.736,-5.5,-1.854,-5.0
93800,0.735,0.94,0.723,0.885,0.417,0.539,0.423,0.281,-1.736,-2.0,-1.855,-4.75
